period,demand_MW,solar_MW,wind_MW,net_load_MW
2023-04-27 10:00:00,36504,0,10142,26362
2023-04-27 11:00:00,37780,0,10097,27683
2023-04-27 12:00:00,40448,0,9925,30523
2023-04-27 13:00:00,41662,936,10257,30469
2023-04-27 14:00:00,42105,6100,9590,26415
2023-04-27 15:00:00,43135,9251,11373,22511
2023-04-27 16:00:00,43541,9958,10175,23408
2023-04-27 17:00:00,44161,10671,8451,25039
2023-04-27 18:00:00,45123,10844,7524,26755
2023-04-27 19:00:00,45825,11321,6867,27637
2023-04-27 20:00:00,46214,11256,5834,29124
2023-04-27 21:00:00,46887,10886,4214,31787
2023-04-27 22:00:00,48042,10826,3259,33957
2023-04-27 23:00:00,48950,11059,3140,34751
2023-04-28 00:00:00,48888,8800,3466,36622
2023-04-28 01:00:00,47973,2694,4058,41221
2023-04-28 02:00:00,47239,61,5810,41368
2023-04-28 03:00:00,46130,0,9697,36433
2023-04-28 04:00:00,43663,0,14018,29645
2023-04-28 05:00:00,40896,0,17681,23215
2023-04-28 06:00:00,38515,0,19859,18656
2023-04-28 07:00:00,36908,0,20402,16506
2023-04-28 08:00:00,36110,0,20471,15639
2023-04-28 09:00:00,35686,0,20305,15381
2023-04-28 10:00:00,35950,0,20331,15619
2023-04-28 11:00:00,37574,0,19917,17657
2023-04-28 12:00:00,40105,10,19839,20256
2023-04-28 13:00:00,41336,1428,18625,21283
2023-04-28 14:00:00,42086,5668,16085,20333
2023-04-28 15:00:00,43262,7454,15963,19845
2023-04-28 16:00:00,44361,6806,18208,19347
2023-04-28 17:00:00,45726,5859,19756,20111
2023-04-28 18:00:00,47416,6239,20585,20592
2023-04-28 19:00:00,48970,5595,21403,21972
2023-04-28 20:00:00,50514,4530,21662,24322
2023-04-28 21:00:00,51528,3464,22125,25939
2023-04-28 22:00:00,51824,2660,22642,26522
2023-04-28 23:00:00,51265,1974,23806,25485
2023-04-29 00:00:00,49220,867,23896,24457
2023-04-29 01:00:00,47392,345,22950,24097
2023-04-29 02:00:00,46501,46,19814,26641
2023-04-29 03:00:00,44528,0,16223,28305
2023-04-29 04:00:00,42078,0,15232,26846
2023-04-29 05:00:00,39994,0,15908,24086
2023-04-29 06:00:00,37886,0,18123,19763
2023-04-29 07:00:00,36403,0,20160,16243
2023-04-29 08:00:00,35516,0,20558,14958
2023-04-29 09:00:00,35122,0,21159,13963
2023-04-29 10:00:00,35195,0,21920,13275
2023-04-29 11:00:00,35569,0,22512,13057
2023-04-29 12:00:00,36594,2,23429,13163
2023-04-29 13:00:00,37538,1329,22478,13731
2023-04-29 14:00:00,39015,6950,18530,13535
2023-04-29 15:00:00,39926,8585,17694,13647
2023-04-29 16:00:00,40440,7840,19614,12986
